TIME(MS),COMMAND,VALUE, WORD
36241, 1, 1, 1me
36560, 1, 0, 1me
37166, 1, 1, 9Have
37166, 2, 1, 9Have
37166, 3, 1, 9Have
37166, 4, 1, 9Have
37166, 5, 1, 9Have
37166, 6, 1, 9Have
37166, 7, 1, 9Have
37166, 8, 1, 9Have
37286, 1, 0, 9Have
37286, 2, 0, 9Have
37286, 3, 0, 9Have
37286, 4, 0, 9Have
37286, 5, 0, 9Have
37286, 6, 0, 9Have
37286, 7, 0, 9Have
37286, 8, 0, 9Have
37309, 1, 1, 9A
37309, 2, 1, 9A
37309, 3, 1, 9A
37309, 4, 1, 9A
37309, 5, 1, 9A
37309, 6, 1, 9A
37309, 7, 1, 9A
37309, 8, 1, 9A
37395, 1, 0, 9A
37395, 2, 0, 9A
37395, 3, 0, 9A
37395, 4, 0, 9A
37395, 5, 0, 9A
37395, 6, 0, 9A
37395, 7, 0, 9A
37395, 8, 0, 9A
37427, 1, 1, 9Holly
37427, 2, 1, 9Holly
37427, 3, 1, 9Holly
37427, 4, 1, 9Holly
37427, 5, 1, 9Holly
37427, 6, 1, 9Holly
37427, 7, 1, 9Holly
37427, 8, 1, 9Holly
38066, 1, 0, 9Holly
38066, 2, 0, 9Holly
38066, 3, 0, 9Holly
38066, 4, 0, 9Holly
38066, 5, 0, 9Holly
38066, 6, 0, 9Holly
38066, 7, 0, 9Holly
38066, 8, 0, 9Holly
38133, 1, 1, 9Jolly
38133, 2, 1, 9Jolly
38133, 3, 1, 9Jolly
38133, 4, 1, 9Jolly
38133, 5, 1, 9Jolly
38133, 6, 1, 9Jolly
38133, 7, 1, 9Jolly
38133, 8, 1, 9Jolly
38660, 1, 0, 9Jolly
38660, 2, 0, 9Jolly
38660, 3, 0, 9Jolly
38660, 4, 0, 9Jolly
38660, 5, 0, 9Jolly
38660, 6, 0, 9Jolly
38660, 7, 0, 9Jolly
38660, 8, 0, 9Jolly
38755, 1, 1, 9Christmas
38755, 2, 1, 9Christmas
38755, 3, 1, 9Christmas
38755, 4, 1, 9Christmas
38755, 5, 1, 9Christmas
38755, 6, 1, 9Christmas
38755, 7, 1, 9Christmas
38755, 8, 1, 9Christmas
39375, 1, 0, 9Christmas
39375, 2, 0, 9Christmas
39375, 3, 0, 9Christmas
39375, 4, 0, 9Christmas
39375, 5, 0, 9Christmas
39375, 6, 0, 9Christmas
39375, 7, 0, 9Christmas
39375, 8, 0, 9Christmas
39749, 1, 1, 1and
39820, 1, 0, 1and
39873, 1, 1, 1in
39957, 1, 0, 1in
40082, 1, 1, 1case
40199, 1, 0, 1case
40376, 1, 1, 1you
40498, 1, 0, 1you
40704, 1, 1, 1didnt
41118, 1, 0, 1didnt
41345, 1, 1, 1hear
41631, 1, 0, 1hear
42676, 1, 1, 9oh
42676, 2, 1, 9oh
42676, 3, 1, 9oh
42676, 4, 1, 9oh
42676, 5, 1, 9oh
42676, 6, 1, 9oh
42676, 7, 1, 9oh
42676, 8, 1, 9oh
42898, 1, 0, 9oh
42898, 2, 0, 9oh
42898, 3, 0, 9oh
42898, 4, 0, 9oh
42898, 5, 0, 9oh
42898, 6, 0, 9oh
42898, 7, 0, 9oh
42898, 8, 0, 9oh
43012, 1, 1, 9by
43012, 2, 1, 9by
43012, 3, 1, 9by
43012, 4, 1, 9by
43012, 5, 1, 9by
43012, 6, 1, 9by
43012, 7, 1, 9by
43012, 8, 1, 9by
43209, 1, 0, 9by
43209, 2, 0, 9by
43209, 3, 0, 9by
43209, 4, 0, 9by
43209, 5, 0, 9by
43209, 6, 0, 9by
43209, 7, 0, 9by
43209, 8, 0, 9by
43300, 1, 1, 9golly
43300, 2, 1, 9golly
43300, 3, 1, 9golly
43300, 4, 1, 9golly
43300, 5, 1, 9golly
43300, 6, 1, 9golly
43300, 7, 1, 9golly
43300, 8, 1, 9golly
43514, 1, 0, 9golly
43514, 2, 0, 9golly
43514, 3, 0, 9golly
43514, 4, 0, 9golly
43514, 5, 0, 9golly
43514, 6, 0, 9golly
43514, 7, 0, 9golly
43514, 8, 0, 9golly
43647, 1, 1, 9have
43647, 2, 1, 9have
43647, 3, 1, 9have
43647, 4, 1, 9have
43647, 5, 1, 9have
43647, 6, 1, 9have
43647, 7, 1, 9have
43647, 8, 1, 9have
43819, 1, 0, 9have
43819, 2, 0, 9have
43819, 3, 0, 9have
43819, 4, 0, 9have
43819, 5, 0, 9have
43819, 6, 0, 9have
43819, 7, 0, 9have
43819, 8, 0, 9have
43857, 1, 1, 91
43857, 2, 1, 91
43857, 3, 1, 91
43857, 4, 1, 91
43857, 5, 1, 91
43857, 6, 1, 91
43857, 7, 1, 91
43857, 8, 1, 91
43939, 1, 0, 91
43939, 2, 0, 91
43939, 3, 0, 91
43939, 4, 0, 91
43939, 5, 0, 91
43939, 6, 0, 91
43939, 7, 0, 91
43939, 8, 0, 91
44002, 1, 1, 9holly
44002, 2, 1, 9holly
44002, 3, 1, 9holly
44002, 4, 1, 9holly
44002, 5, 1, 9holly
44002, 6, 1, 9holly
44002, 7, 1, 9holly
44002, 8, 1, 9holly
44439, 1, 0, 9holly
44439, 2, 0, 9holly
44439, 3, 0, 9holly
44439, 4, 0, 9holly
44439, 5, 0, 9holly
44439, 6, 0, 9holly
44439, 7, 0, 9holly
44439, 8, 0, 9holly
44658, 1, 1, 9Jolly
44658, 2, 1, 9Jolly
44658, 3, 1, 9Jolly
44658, 4, 1, 9Jolly
44658, 5, 1, 9Jolly
44658, 6, 1, 9Jolly
44658, 7, 1, 9Jolly
44658, 8, 1, 9Jolly
45141, 1, 0, 9Jolly
45141, 2, 0, 9Jolly
45141, 3, 0, 9Jolly
45141, 4, 0, 9Jolly
45141, 5, 0, 9Jolly
45141, 6, 0, 9Jolly
45141, 7, 0, 9Jolly
45141, 8, 0, 9Jolly
45282, 1, 1, 9Christ
45282, 2, 1, 9Christ
45282, 3, 1, 9Christ
45282, 4, 1, 9Christ
45282, 5, 1, 9Christ
45282, 6, 1, 9Christ
45282, 7, 1, 9Christ
45282, 8, 1, 9Christ
45429, 1, 0, 9Christ
45429, 2, 0, 9Christ
45429, 3, 0, 9Christ
45429, 4, 0, 9Christ
45429, 5, 0, 9Christ
45429, 6, 0, 9Christ
45429, 7, 0, 9Christ
45429, 8, 0, 9Christ
45597, 1, 1, 9mas
45597, 2, 1, 9mas
45597, 3, 1, 9mas
45597, 4, 1, 9mas
45597, 5, 1, 9mas
45597, 6, 1, 9mas
45597, 7, 1, 9mas
45597, 8, 1, 9mas
45761, 1, 0, 9mas
45761, 2, 0, 9mas
45761, 3, 0, 9mas
45761, 4, 0, 9mas
45761, 5, 0, 9mas
45761, 6, 0, 9mas
45761, 7, 0, 9mas
45761, 8, 0, 9mas
46251, 1, 1, 9this
46251, 2, 1, 9this
46251, 3, 1, 9this
46251, 4, 1, 9this
46251, 5, 1, 9this
46251, 6, 1, 9this
46251, 7, 1, 9this
46251, 8, 1, 9this
46384, 1, 0, 9this
46384, 2, 0, 9this
46384, 3, 0, 9this
46384, 4, 0, 9this
46384, 5, 0, 9this
46384, 6, 0, 9this
46384, 7, 0, 9this
46384, 8, 0, 9this
46546, 1, 1, 9Year
46546, 2, 1, 9Year
46546, 3, 1, 9Year
46546, 4, 1, 9Year
46546, 5, 1, 9Year
46546, 6, 1, 9Year
46546, 7, 1, 9Year
46546, 8, 1, 9Year
47353, 1, 0, 9Year
47353, 2, 0, 9Year
47353, 3, 0, 9Year
47353, 4, 0, 9Year
47353, 5, 0, 9Year
47353, 6, 0, 9Year
47353, 7, 0, 9Year
47353, 8, 0, 9Year
56917, 1, 1, 2holly
56917, 2, 1, 2holly
56917, 3, 1, 2holly
56917, 4, 1, 2holly
56917, 5, 1, 2holly
56917, 6, 1, 2holly
56917, 7, 1, 2holly
57409, 1, 0, 2holly
57409, 2, 0, 2holly
57409, 3, 0, 2holly
57409, 4, 0, 2holly
57409, 5, 0, 2holly
57409, 6, 0, 2holly
57409, 7, 0, 2holly
57571, 1, 1, 2Jolly
57571, 2, 1, 2Jolly
57571, 3, 1, 2Jolly
57571, 4, 1, 2Jolly
57571, 5, 1, 2Jolly
57571, 6, 1, 2Jolly
57571, 7, 1, 2Jolly
57984, 1, 0, 2Jolly
57984, 2, 0, 2Jolly
57984, 3, 0, 2Jolly
57984, 4, 0, 2Jolly
57984, 5, 0, 2Jolly
57984, 6, 0, 2Jolly
57984, 7, 0, 2Jolly
58241, 1, 1, 2Holly
58241, 2, 1, 2Holly
58241, 3, 1, 2Holly
58241, 4, 1, 2Holly
58241, 5, 1, 2Holly
58241, 6, 1, 2Holly
58241, 7, 1, 2Holly
58649, 1, 0, 2Holly
58649, 2, 0, 2Holly
58649, 3, 0, 2Holly
58649, 4, 0, 2Holly
58649, 5, 0, 2Holly
58649, 6, 0, 2Holly
58649, 7, 0, 2Holly
58837, 1, 1, 2jolly
58837, 2, 1, 2jolly
58837, 3, 1, 2jolly
58837, 4, 1, 2jolly
58837, 5, 1, 2jolly
58837, 6, 1, 2jolly
58837, 7, 1, 2jolly
59356, 1, 0, 2jolly
59356, 2, 0, 2jolly
59356, 3, 0, 2jolly
59356, 4, 0, 2jolly
59356, 5, 0, 2jolly
59356, 6, 0, 2jolly
59356, 7, 0, 2jolly
59542, 1, 1, 2Oooohhhh
59542, 2, 1, 2Oooohhhh
59542, 3, 1, 2Oooohhhh
59542, 4, 1, 2Oooohhhh
59542, 5, 1, 2Oooohhhh
59542, 6, 1, 2Oooohhhh
59542, 7, 1, 2Oooohhhh
61444, 1, 0, 2Oooohhhh
61444, 2, 0, 2Oooohhhh
61444, 3, 0, 2Oooohhhh
61444, 4, 0, 2Oooohhhh
61444, 5, 0, 2Oooohhhh
61444, 6, 0, 2Oooohhhh
61444, 7, 0, 2Oooohhhh
61788, 1, 1, 9Have
61788, 2, 1, 9Have
61788, 3, 1, 9Have
61788, 4, 1, 9Have
61788, 5, 1, 9Have
61788, 6, 1, 9Have
61788, 7, 1, 9Have
61788, 8, 1, 9Have
61908, 1, 0, 9Have
61908, 2, 0, 9Have
61908, 3, 0, 9Have
61908, 4, 0, 9Have
61908, 5, 0, 9Have
61908, 6, 0, 9Have
61908, 7, 0, 9Have
61908, 8, 0, 9Have
61931, 1, 1, 9A
61931, 2, 1, 9A
61931, 3, 1, 9A
61931, 4, 1, 9A
61931, 5, 1, 9A
61931, 6, 1, 9A
61931, 7, 1, 9A
61931, 8, 1, 9A
62017, 1, 0, 9A
62017, 2, 0, 9A
62017, 3, 0, 9A
62017, 4, 0, 9A
62017, 5, 0, 9A
62017, 6, 0, 9A
62017, 7, 0, 9A
62017, 8, 0, 9A
62049, 1, 1, 9Holly
62049, 2, 1, 9Holly
62049, 3, 1, 9Holly
62049, 4, 1, 9Holly
62049, 5, 1, 9Holly
62049, 6, 1, 9Holly
62049, 7, 1, 9Holly
62049, 8, 1, 9Holly
62688, 1, 0, 9Holly
62688, 2, 0, 9Holly
62688, 3, 0, 9Holly
62688, 4, 0, 9Holly
62688, 5, 0, 9Holly
62688, 6, 0, 9Holly
62688, 7, 0, 9Holly
62688, 8, 0, 9Holly
62755, 1, 1, 9Jolly
63282, 1, 0, 9Jolly
63377, 1, 1, 9Christmas
63377, 2, 1, 9Christmas
63377, 3, 1, 9Christmas
63377, 4, 1, 9Christmas
63377, 5, 1, 9Christmas
63377, 6, 1, 9Christmas
63377, 7, 1, 9Christmas
63377, 8, 1, 9Christmas
63997, 1, 0, 9Christmas
63997, 2, 0, 9Christmas
63997, 3, 0, 9Christmas
63997, 4, 0, 9Christmas
63997, 5, 0, 9Christmas
63997, 6, 0, 9Christmas
63997, 7, 0, 9Christmas
63997, 8, 0, 9Christmas
64416, 1, 1, 1and
64488, 1, 0, 1and
64514, 1, 1, 1in
64598, 1, 0, 1in
64704, 1, 1, 1case
64821, 1, 0, 1case
64998, 1, 1, 1you
65120, 1, 0, 1you
65326, 1, 1, 1didnt
65740, 1, 0, 1didnt
65967, 1, 1, 1hear
66253, 1, 0, 1hear
67369, 1, 1, 9oh
67369, 2, 1, 9oh
67369, 3, 1, 9oh
67369, 4, 1, 9oh
67369, 5, 1, 9oh
67369, 6, 1, 9oh
67369, 7, 1, 9oh
67369, 8, 1, 9oh
67510, 1, 0, 9oh
67510, 2, 0, 9oh
67510, 3, 0, 9oh
67510, 4, 0, 9oh
67510, 5, 0, 9oh
67510, 6, 0, 9oh
67510, 7, 0, 9oh
67510, 8, 0, 9oh
67689, 1, 1, 9by
67689, 2, 1, 9by
67689, 3, 1, 9by
67689, 4, 1, 9by
67689, 5, 1, 9by
67689, 6, 1, 9by
67689, 7, 1, 9by
67689, 8, 1, 9by
67831, 1, 0, 9by
67831, 2, 0, 9by
67831, 3, 0, 9by
67831, 4, 0, 9by
67831, 5, 0, 9by
67831, 6, 0, 9by
67831, 7, 0, 9by
67831, 8, 0, 9by
68002, 1, 1, 9golly
68002, 2, 1, 9golly
68002, 3, 1, 9golly
68002, 4, 1, 9golly
68002, 5, 1, 9golly
68002, 6, 1, 9golly
68002, 7, 1, 9golly
68002, 8, 1, 9golly
68216, 1, 0, 9golly
68216, 2, 0, 9golly
68216, 3, 0, 9golly
68216, 4, 0, 9golly
68216, 5, 0, 9golly
68216, 6, 0, 9golly
68216, 7, 0, 9golly
68216, 8, 0, 9golly
68269, 1, 1, 9have
68269, 2, 1, 9have
68269, 3, 1, 9have
68269, 4, 1, 9have
68269, 5, 1, 9have
68269, 6, 1, 9have
68269, 7, 1, 9have
68269, 8, 1, 9have
68454, 1, 0, 9have
68454, 2, 0, 9have
68454, 3, 0, 9have
68454, 4, 0, 9have
68454, 5, 0, 9have
68454, 6, 0, 9have
68454, 7, 0, 9have
68454, 8, 0, 9have
68517, 1, 1, 91
68517, 2, 1, 91
68517, 3, 1, 91
68517, 4, 1, 91
68517, 5, 1, 91
68517, 6, 1, 91
68517, 7, 1, 91
68517, 8, 1, 91
68599, 1, 0, 91
68599, 2, 0, 91
68599, 3, 0, 91
68599, 4, 0, 91
68599, 5, 0, 91
68599, 6, 0, 91
68599, 7, 0, 91
68599, 8, 0, 91
68710, 1, 1, 9holly
68710, 2, 1, 9holly
68710, 3, 1, 9holly
68710, 4, 1, 9holly
68710, 5, 1, 9holly
68710, 6, 1, 9holly
68710, 7, 1, 9holly
68710, 8, 1, 9holly
69061, 1, 0, 9holly
69061, 2, 0, 9holly
69061, 3, 0, 9holly
69061, 4, 0, 9holly
69061, 5, 0, 9holly
69061, 6, 0, 9holly
69061, 7, 0, 9holly
69061, 8, 0, 9holly
69303, 1, 1, 9Jolly
69303, 2, 1, 9Jolly
69303, 3, 1, 9Jolly
69303, 4, 1, 9Jolly
69303, 5, 1, 9Jolly
69303, 6, 1, 9Jolly
69303, 7, 1, 9Jolly
69303, 8, 1, 9Jolly
69786, 1, 0, 9Jolly
69786, 2, 0, 9Jolly
69786, 3, 0, 9Jolly
69786, 4, 0, 9Jolly
69786, 5, 0, 9Jolly
69786, 6, 0, 9Jolly
69786, 7, 0, 9Jolly
69786, 8, 0, 9Jolly
70014, 1, 1, 9Christ
70014, 2, 1, 9Christ
70014, 3, 1, 9Christ
70014, 4, 1, 9Christ
70014, 5, 1, 9Christ
70014, 6, 1, 9Christ
70014, 7, 1, 9Christ
70014, 8, 1, 9Christ
70405, 1, 0, 9Christ
70405, 2, 0, 9Christ
70405, 3, 0, 9Christ
70405, 4, 0, 9Christ
70405, 5, 0, 9Christ
70405, 6, 0, 9Christ
70405, 7, 0, 9Christ
70405, 8, 0, 9Christ
70666, 1, 1, 9Mas
70666, 2, 1, 9Mas
70666, 3, 1, 9Mas
70666, 4, 1, 9Mas
70666, 5, 1, 9Mas
70666, 6, 1, 9Mas
70666, 7, 1, 9Mas
70666, 8, 1, 9Mas
71295, 1, 0, 9Mas
71295, 2, 0, 9Mas
71295, 3, 0, 9Mas
71295, 4, 0, 9Mas
71295, 5, 0, 9Mas
71295, 6, 0, 9Mas
71295, 7, 0, 9Mas
71295, 8, 0, 9Mas
71946, 1, 1, 9This
71946, 2, 1, 9This
71946, 3, 1, 9This
71946, 4, 1, 9This
71946, 5, 1, 9This
71946, 6, 1, 9This
71946, 7, 1, 9This
71946, 8, 1, 9This
72459, 1, 0, 9This
72459, 2, 0, 9This
72459, 3, 0, 9This
72459, 4, 0, 9This
72459, 5, 0, 9This
72459, 6, 0, 9This
72459, 7, 0, 9This
72459, 8, 0, 9This
72693, 1, 1, 9Year
72693, 2, 1, 9Year
72693, 3, 1, 9Year
72693, 4, 1, 9Year
72693, 5, 1, 9Year
72693, 6, 1, 9Year
72693, 7, 1, 9Year
